Id,SalePrice
1461,122399.11046511628
1462,159973.02127659574
1463,155821.93103448275
1464,186980.6695652174
1465,253207.42857142858
1466,186980.6695652174
1467,141558.76623376625
1468,186980.6695652174
1469,178199.9223300971
1470,93264.08450704225
1471,178199.9223300971
1472,122399.11046511628
1473,122399.11046511628
1474,186980.6695652174
1475,178199.9223300971
1476,353521.3076923077
1477,274934.04615384614
1478,353521.3076923077
1479,274934.04615384614
1480,464977.0
1481,274934.04615384614
1482,253207.42857142858
1483,159973.02127659574
1484,178199.9223300971
1485,178199.9223300971
1486,207036.05
1487,274934.04615384614
1488,274934.04615384614
1489,178199.9223300971
1490,186980.6695652174
1491,178199.9223300971
1492,122399.11046511628
1493,186980.6695652174
1494,274934.04615384614
1495,274934.04615384614
1496,223254.10714285713
1497,178199.9223300971
1498,178199.9223300971
1499,178199.9223300971
1500,122399.11046511628
1501,186980.6695652174
1502,178199.9223300971
1503,274934.04615384614
1504,274934.04615384614
1505,223254.10714285713
1506,186980.6695652174
1507,186980.6695652174
1508,186980.6695652174
1509,186980.6695652174
1510,159973.02127659574
1511,159973.02127659574
1512,155821.93103448275
1513,186980.6695652174
1514,152295.11764705883
1515,155821.93103448275
1516,186980.6695652174
1517,141558.76623376625
1518,155821.93103448275
1519,223254.10714285713
1520,141558.76623376625
1521,159973.02127659574
1522,186980.6695652174
1523,93264.08450704225
1524,122399.11046511628
1525,122399.11046511628
1526,122399.11046511628
1527,93264.08450704225
1528,122399.11046511628
1529,141558.76623376625
1530,186980.6695652174
1531,124521.23333333334
1532,122399.11046511628
1533,159973.02127659574
1534,122399.11046511628
1535,152295.11764705883
1536,141558.76623376625
1537,93264.08450704225
1538,192862.33333333334
1539,274934.04615384614
1540,124521.23333333334
1541,186980.6695652174
1542,152295.11764705883
1543,260704.16666666666
1544,93264.08450704225
1545,122399.11046511628
1546,122399.11046511628
1547,124521.23333333334
1548,124521.23333333334
1549,122399.11046511628
1550,155821.93103448275
1551,141558.76623376625
1552,155821.93103448275
1553,152295.11764705883
1554,122399.11046511628
1555,124521.23333333334
1556,122399.11046511628
1557,124521.23333333334
1558,122399.11046511628
